"company_domain","first_name_guess","subject","body","specificity_score","humanness_score","curiosity_score","critique_notes"
"linear.app","Karri","fwd: linear triage idea","Your Triage inbox basically templated how every modern issue tracker handles incoming reports — copied everywhere now. Curious whether your own inbound contact-form leads still get hand-sorted into Slack and Notion every morning. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"resend.com","Zeno","fwd: resend react email idea","React Email re-framing email templates as actual components is the wedge — that abstraction is showing up in every dev-tools stack now. Bet your free-tier signup stream still gets eyeballed manually for which look like real teams vs hobby projects. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"cal.com","Peer","fwd: cal routing idea","Routing Forms quietly turned Cal into a lightweight CRM — the conditional team-routing is the part nobody else nailed. Wonder if 'is self-hosting right for us' threads still get manually triaged before a human picks up the right reply. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"vercel.com","Lee","fwd: vercel preview urls idea","Preview URLs as a default per-PR primitive shifted how every dev team treats staging — that single design choice is the wedge. Bet your sales team still hand-scans which Pro accounts are quietly running production traffic that should be Enterprise. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"supabase.com","Paul","fwd: supabase rls idea","Postgres' RLS as the actual auth layer — most OSS clones bolt one on, you didn't, and that's the architectural call that holds up at scale. Curious if Discord 'we're scaling, considering self-host vs Enterprise' threads still get hand-skimmed by your team. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"posthog.com","James","fwd: posthog handbook idea","The public-by-default handbook (salaries, roadmap, exit interviews) does more for engineering recruiting than any careers page — most companies couldn't stomach it. Wonder if your inbound still gets manually sifted for 'self-host vs cloud' signals before someone replies with the right doc link. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"clerk.com","Colin","fwd: clerk saml idea","Shipping <SignIn /> as a literal drop-in component was the move — Auth0's docs read like a tax form by comparison. Bet your inbound still gets hand-sorted for which startups need basic auth vs the ones quietly asking for SAML and SCIM. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"dub.co","Steven","fwd: dub links idea","Making short-link analytics look like a product instead of a sketchy redirector was overdue — Bitly should've shipped that a decade ago. Curious if your team manually pokes through heaviest free-tier workspaces to spot ones running real production marketing on you. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"mintlify.com","Han","fwd: mintlify docs ai idea","Asking docs a question instead of grep-searching them is the real product unlock — Algolia DocSearch should've shipped this years ago. Bet your inbound still gets manually scanned for which prospects have a sprawling docs site worth migrating vs a one-pager. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
"trigger.dev","Matt","fwd: trigger background jobs idea","Background jobs as code-defined functions instead of queue-config was the missing piece — most teams stitched three tools to fake it. Curious if your inbound still gets hand-sorted for devs evaluating real production loads vs ones kicking tires on side projects. I built a 4-min Loom showing this for a company like yours. Want me to send it over?","10","10","10","specificity[S1 names a company-specific token; S1 references the signature feature] | humanness[good sentence-length variance] | curiosity[closes with a question; CTA length is conversational]"
